Title ,Year ,,
"Almagro and Claude: o, monastic murder exemplified ",1803,,
Belgrove castle: or the horrid spectrs,1803,,
"black valley: or, the castle of rosenberg",1803,,
cave of cosenza ,1803,,
"crontradt caste: or, the mysterious visitor ",1803,,
"de la mark and constantia: or, ancient heroism",1803,,
don raphael ,1803,,
"don sancho: or, the monk of hennares",1803,,
"douglas castle: or, the cell of mystery",1803,,
eliza: or the unhappy nun ,1803,,
"father innocent, abbot of capuchins: or the crimes of the cloisters ",1803,,
forest of hohenhelbe,1803,,
german sorceress ,1803,,
,,,
,,,
,,,
,,,
,,,
